id,text,username,timestamp,permalink,media_type,media_url,reply_length,has_text,is_nested,manual_sentiment,is_tagged,cleaned_text,emojis,emoji_count,has_question,has_exclamation,has_caps,word_count,char_count,positive_keywords,negative_keywords,punctuation_count,avg_word_length,sentence_count,hour,ml_sentiment,ml_confidence,ml_probabilities,ml_prob_negative,ml_prob_neutral,ml_prob_positive,model_type
17852474634512912,"A jar of peanutbutter has way more calories than a coke liter, which is healthier? Same price give or take",_anthony_dempsey_,2025-08-10 14:04:53+00:00,https://www.threads.com/@_anthony_dempsey_/post/DNLVysfuZBm,TEXT_POST,,106,True,False,neutral,yes,jar peanutbutt has way more calorie than coke lit which healthi same price give take,,0,True,False,False,20,106,0,0,2,4.35,2,14,neutral,0.65,"{np.str_('negative'): 0.32, np.str_('neutral'): 0.65, np.str_('positive'): 0.03}",0.32,0.65,0.03,traditional
17946001551031391,Retard opinion,_demonwizard_,2025-08-10 21:01:04+00:00,https://www.threads.com/@_demonwizard_/post/DNMFa4ZR9do,TEXT_POST,,14,True,False,negative,yes,retard opinion,,0,False,False,False,2,14,0,0,0,6.5,1,21,negative,0.95,"{np.str_('negative'): 0.95, np.str_('neutral'): 0.05, np.str_('positive'): 0.0}",0.95,0.05,0.0,traditional
18395551171189205,"The thing is you can just drink more water. It's already paid for with your bills and it comes in bigger bottles than soda. That's it, that's all you have to do to get the same effect, just drink more of it. Your body will be happier for it too.",_devils.advocate._,2025-08-09 21:25:56+00:00,https://www.threads.com/@_devils.advocate._/post/DNJjeIYS3Zi,TEXT_POST,,245,True,False,neutral,yes,the thing you can just drink more wat already paid for with your bill and come bigg bottle than soda that that all you have get the same effect just drink more your body will happi for too,,0,False,False,False,50,245,0,0,6,3.92,4,21,negative,0.71,"{np.str_('negative'): 0.71, np.str_('neutral'): 0.16, np.str_('positive'): 0.13}",0.71,0.16,0.13,traditional
18290511739302136,"Coke unclogs feeding tubes. Sprite is a clear liquid for those ill or unable to eat solids. 
🤷‍♀️",_firegoddess,2025-08-10 16:37:35+00:00,https://www.threads.com/@_firegoddess/post/DNLnRIqp8-5,TEXT_POST,,98,True,False,positive,yes,coke unclog feed tube sprite clear liquid for those ill unable eat solid,🤷‍♀️,1,False,False,False,17,98,0,0,2,4.411764705882353,3,16,negative,0.76,"{np.str_('negative'): 0.76, np.str_('neutral'): 0.16, np.str_('positive'): 0.08}",0.76,0.16,0.08,traditional
17985957308842185,No one needs soda. It has no nutritional benefit.,_jen_jensen_,2025-08-10 13:11:11+00:00,https://www.threads.com/@_jen_jensen_/post/DNLPpVtNjiw,TEXT_POST,,49,True,False,negative,yes,one need soda has nutritional benefit,,0,False,False,False,9,49,0,1,2,4.555555555555555,2,13,negative,0.96,"{np.str_('negative'): 0.96, np.str_('neutral'): 0.01, np.str_('positive'): 0.03}",0.96,0.01,0.03,traditional
17909410959195780,You can get some noodles for like $1,_knack4daball,2025-08-10 16:55:13+00:00,https://www.threads.com/@_knack4daball/post/DNLpSPEJFCh,TEXT_POST,,36,True,False,neutral,yes,you can get some noodle for like,,0,False,False,False,8,36,0,1,0,3.625,1,16,neutral,0.64,"{np.str_('negative'): 0.36, np.str_('neutral'): 0.64, np.str_('positive'): 0.0}",0.36,0.64,0.0,traditional
18516671779030608,What in the fat fuck did I just read?!?!??!???,_masons_collectibles,2025-08-10 19:28:12+00:00,https://www.threads.com/@_masons_collectibles/post/DNL6ys2SCRp,TEXT_POST,,46,True,False,negative,yes,what the fat fuck did just read,,0,True,True,False,9,46,0,0,10,4.222222222222222,1,19,negative,0.94,"{np.str_('negative'): 0.94, np.str_('neutral'): 0.02, np.str_('positive'): 0.04}",0.94,0.02,0.04,traditional
18076279702961661,Buy a bag of oranges,_missfit_13_,2025-08-11 20:56:23+00:00,https://www.threads.com/@_missfit_13_/post/DNOprhFS6Ec,TEXT_POST,,20,True,False,neutral,yes,buy bag orange,,0,False,False,False,5,20,0,0,0,3.2,1,20,neutral,0.83,"{np.str_('negative'): 0.17, np.str_('neutral'): 0.83, np.str_('positive'): 0.0}",0.17,0.83,0.0,traditional
18080014261931414,You’ve got to be kidding,_timgrady,2025-08-10 12:53:42+00:00,https://www.threads.com/@_timgrady/post/DNLNpSguxBY,TEXT_POST,,24,True,False,negative,yes,you got kidd,,0,False,False,False,5,24,0,0,0,4.0,1,12,negative,1.0,"{np.str_('negative'): 1.0, np.str_('neutral'): 0.0, np.str_('positive'): 0.0}",1.0,0.0,0.0,traditional
17844761910547018,Or you can get a load of bread and some bologna or peanut butter instead of a soda.,_under_wicked_sky,2025-08-10 01:19:26+00:00,https://www.threads.com/@_under_wicked_sky/post/DNJ-MXRMTUr,TEXT_POST,,83,True,False,neutral,yes,you can get load bread and some bologna peanut butt instead soda,,0,False,False,False,18,83,0,0,1,3.6666666666666665,1,1,negative,0.78,"{np.str_('negative'): 0.78, np.str_('neutral'): 0.22, np.str_('positive'): 0.0}",0.78,0.22,0.0,traditional
