id,text,username,timestamp,permalink,media_type,media_url,reply_length,has_text,is_nested,manual_sentiment,is_tagged,ml_sentiment,ml_confidence,model_type,model_name,ml_prob_positive,ml_prob_negative,ml_prob_neutral,test_accuracy,avg_training_confidence
17852474634512912,"A jar of peanutbutter has way more calories than a coke liter, which is healthier? Same price give or take",_anthony_dempsey_,2025-08-10 14:04:53+00:00,https://www.threads.com/@_anthony_dempsey_/post/DNLVysfuZBm,TEXT_POST,,106.0,True,False,neutral,yes,neutral,0.9918893844221461,ensemble,gradient_boosting,7.954517750674343e-05,0.008031070400347244,0.9918893844221461,0.6190476190476191,0.8871307709361499
17946001551031391,Retard opinion,_demonwizard_,2025-08-10 21:01:04+00:00,https://www.threads.com/@_demonwizard_/post/DNMFa4ZR9do,TEXT_POST,,14.0,True,False,negative,yes,negative,0.9436946086931597,ensemble,gradient_boosting,0.0008974135747316323,0.9436946086931597,0.05540797773210867,0.6190476190476191,0.8871307709361499
18395551171189205,"The thing is you can just drink more water. It's already paid for with your bills and it comes in bigger bottles than soda. That's it, that's all you have to do to get the same effect, just drink more of it. Your body will be happier for it too.",_devils.advocate._,2025-08-09 21:25:56+00:00,https://www.threads.com/@_devils.advocate._/post/DNJjeIYS3Zi,TEXT_POST,,245.0,True,False,neutral,yes,negative,0.5192270668577263,ensemble,gradient_boosting,0.0031175291340735196,0.5192270668577263,0.4776554040082001,0.6190476190476191,0.8871307709361499
18290511739302136,"Coke unclogs feeding tubes. Sprite is a clear liquid for those ill or unable to eat solids. 
🤷‍♀️",_firegoddess,2025-08-10 16:37:35+00:00,https://www.threads.com/@_firegoddess/post/DNLnRIqp8-5,TEXT_POST,,97.0,True,False,positive,yes,negative,0.9657272123238265,ensemble,gradient_boosting,0.0007356473623827942,0.9657272123238265,0.03353714031379069,0.6190476190476191,0.8871307709361499
17985957308842185,No one needs soda. It has no nutritional benefit.,_jen_jensen_,2025-08-10 13:11:11+00:00,https://www.threads.com/@_jen_jensen_/post/DNLPpVtNjiw,TEXT_POST,,49.0,True,False,negative,yes,negative,0.9974525060775608,ensemble,gradient_boosting,0.0003011998421544687,0.9974525060775608,0.0022462940802847496,0.6190476190476191,0.8871307709361499
17909410959195780,You can get some noodles for like $1,_knack4daball,2025-08-10 16:55:13+00:00,https://www.threads.com/@_knack4daball/post/DNLpSPEJFCh,TEXT_POST,,36.0,True,False,neutral,yes,neutral,0.9833380960144394,ensemble,gradient_boosting,4.887541802495416e-05,0.01661302856753547,0.9833380960144394,0.6190476190476191,0.8871307709361499
18516671779030608,What in the fat fuck did I just read?!?!??!???,_masons_collectibles,2025-08-10 19:28:12+00:00,https://www.threads.com/@_masons_collectibles/post/DNL6ys2SCRp,TEXT_POST,,46.0,True,False,negative,yes,negative,0.9647251198398751,ensemble,gradient_boosting,0.0009174126994619759,0.9647251198398751,0.03435746746066306,0.6190476190476191,0.8871307709361499
18076279702961661,Buy a bag of oranges,_missfit_13_,2025-08-11 20:56:23+00:00,https://www.threads.com/@_missfit_13_/post/DNOprhFS6Ec,TEXT_POST,,20.0,True,False,neutral,yes,neutral,0.9895194144611209,ensemble,gradient_boosting,0.00017837124923574115,0.010302214289643317,0.9895194144611209,0.6190476190476191,0.8871307709361499
18080014261931414,You’ve got to be kidding,_timgrady,2025-08-10 12:53:42+00:00,https://www.threads.com/@_timgrady/post/DNLNpSguxBY,TEXT_POST,,24.0,True,False,negative,yes,negative,0.9795594745201931,ensemble,gradient_boosting,0.0009315195420145009,0.9795594745201931,0.01950900593779246,0.6190476190476191,0.8871307709361499
17844761910547018,Or you can get a load of bread and some bologna or peanut butter instead of a soda.,_under_wicked_sky,2025-08-10 01:19:26+00:00,https://www.threads.com/@_under_wicked_sky/post/DNJ-MXRMTUr,TEXT_POST,,83.0,True,False,neutral,yes,negative,0.9938774796247029,ensemble,gradient_boosting,0.0005103309723498362,0.9938774796247029,0.005612189402947373,0.6190476190476191,0.8871307709361499
